,feature_key,model_key,accuracy,roc_auc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
19,combined,SGD,0.5145631067961165,0.4961274442718901,0.5469580626107502,0.681383370125092,0.6068152031454784,0.4441591784338896,0.3108715184186882,0.3657505285412262
12,nlp based feature,SVM,0.5424757281553398,0.4989071558483029,0.5491803278688525,0.9367181751287712,0.6924122926298613,0.44155844155844154,0.061096136567834684,0.1073401736385162
11,nlp based feature,Logistic Regression,0.5509708737864077,0.505657600621989,0.5526872619551417,0.9610007358351729,0.7017732401934443,0.5137614678899083,0.050314465408805034,0.0916530278232406
14,nlp based feature,SGD,0.5424757281553398,0.5071203457433622,0.553875236294896,0.8623988226637234,0.6745323741007194,0.4747191011235955,0.1518418688230009,0.23008849557522126
4,listing info,SGD,0.5190129449838188,0.5127789380569587,0.5609756097560976,0.5754231052244297,0.5681075190701054,0.4647495361781076,0.4501347708894879,0.45732542218165223
1,listing info,Logistic Regression,0.5574433656957929,0.5152849427496435,0.5579361609094884,0.9389256806475349,0.6999451453647834,0.5513513513513514,0.09164420485175202,0.1571648690292758
6,sentiment feature,Logistic Regression,0.558252427184466,0.5294383653748892,0.5681470137825421,0.8189845474613686,0.6708860759493671,0.52046783625731,0.2398921832884097,0.3284132841328413
9,sentiment feature,SGD,0.5461165048543689,0.5320623813688914,0.5743879472693032,0.673289183222958,0.6199186991869918,0.4948805460750853,0.3908355795148248,0.4367469879518072
2,listing info,SVM,0.566747572815534,0.5336679300817749,0.5696999031945789,0.8660779985283297,0.6872992700729926,0.5517241379310345,0.20125786163522014,0.2949308755760369
13,nlp based feature,Random Forest,0.5505663430420712,0.5347270567188098,0.5757020757020757,0.6938925680647535,0.6292959626292959,0.5011990407673861,0.3755615453728661,0.42937853107344637
7,sentiment feature,SVM,0.563915857605178,0.5381672349059579,0.5745358090185676,0.7969094922737306,0.6676942046855734,0.5298126064735945,0.27942497753818507,0.36588235294117644
10,nlp based feature,KNN,0.5521844660194175,0.5409965310627562,0.5826771653543307,0.6534216335540839,0.6160249739854318,0.5031645569620253,0.42857142857142855,0.46288209606986896
24,coombined text feature,SGD,0.5473300970873787,0.5422738298534875,0.5874635568513119,0.5930831493745401,0.5902599780300256,0.49727272727272726,0.4914645103324349,0.4943515589697243
21,coombined text feature,Logistic Regression,0.5663430420711975,0.5433835327625157,0.5789763346175014,0.7740986019131715,0.6624685138539044,0.5312977099236641,0.31266846361185985,0.3936651583710407
16,combined,Logistic Regression,0.5683656957928802,0.5462802639486383,0.5812917594654788,0.7682119205298014,0.6618066561014263,0.5340236686390533,0.3243486073674753,0.4035774175517049
22,coombined text feature,SVM,0.56957928802589,0.5490103909446656,0.5838544627629335,0.7557027225901398,0.6587556125721615,0.5343618513323983,0.3423180592991914,0.4173055859802848
17,combined,SVM,0.5748381877022654,0.5557449686526282,0.5893271461716937,0.7476085356880059,0.6590982808952319,0.5414438502673797,0.3638814016172507,0.4352498656636218
5,sentiment feature,KNN,0.5784789644012945,0.5676760103849946,0.6042077580539119,0.6762325239146432,0.6381944444444444,0.53732912723449,0.4591194968553459,0.49515503875968997
8,sentiment feature,Random Forest,0.5857605177993528,0.5683622609775302,0.599406528189911,0.7431935246504783,0.6636005256241787,0.5565438373570522,0.3935309973045822,0.4610526315789474
20,coombined text feature,KNN,0.5792880258899676,0.5698755823708966,0.6072629455279085,0.6644591611479028,0.634574841883345,0.5370558375634518,0.4752920035938904,0.5042897998093422
15,combined,KNN,0.5841423948220065,0.5760796050687341,0.613745704467354,0.6571008094186902,0.6346837242359631,0.5417895771878073,0.4950584007187781,0.5173708920187794
23,coombined text feature,Random Forest,0.598705501618123,0.5820872728282449,0.609946075494308,0.7490802060338484,0.6723910171730515,0.5753424657534246,0.41509433962264153,0.4822546972860125
0,listing info,KNN,0.5922330097087378,0.5823808135441273,0.6169220519653564,0.681383370125092,0.6475524475524476,0.5540679711637487,0.4833782569631626,0.5163147792706335
3,listing info,Random Forest,0.5954692556634305,0.5849988793884833,0.6183256427158866,0.6902133922001472,0.6522948539638388,0.5591623036649215,0.4797843665768194,0.5164410058027079
18,combined,Random Forest,0.6067961165048543,0.591071998794103,0.6173438447543966,0.7490802060338484,0.6768617021276596,0.5856622114216282,0.4330637915543576,0.4979338842975208
